lsoa_code,pop,econ_score,infrastructure_score,health_score,percent_working,percent_child,percent_old
E01000194,1891,0.311,33.6873333333333,-0.567,0.624008461131676,0.237969328397673,0.164463246959281
E01000195,2009,0.3045,35.061,0.102,0.634644101543056,0.250871080139373,0.15131906421105
E01000196,2150,0.191,27.391,-0.85,0.693953488372093,0.143720930232558,0.197674418604651
E01000197,1827,0.136,29.2176666666667,-1.111,0.663382594417077,0.194854953475643,0.182266009852217
E01000198,2156,0.161,23.7776666666667,-1.29,0.576530612244898,0.256493506493506,0.189239332096475
E01000199,1627,0.108,19.421,-1.854,0.532267977873387,0.186846957590658,0.32759680393362
E01000200,2026,0.136,21.4313333333333,-1.458,0.550839091806515,0.17324777887463,0.315399802566634
E01000201,1523,0.0495,16.8243333333333,-2.031,0.53381483913329,0.213394615889691,0.294156270518713
E01000202,1661,0.1055,22.069,-1.675,0.621914509331728,0.18783865141481,0.258880192655027
E01000203,1880,0.272,24.2263333333333,-0.774,0.641489361702128,0.206382978723404,0.192021276595745
E01000204,1726,0.109,22.342,-1.171,0.595596755504056,0.181923522595597,0.271147161066049
E01000205,1534,0.0825,19.4376666666667,-1.866,0.5625814863103,0.224250325945241,0.288135593220339
E01000206,1497,0.0215,22.202,-1.871,0.571810287241149,0.173012692050768,0.305945223780895
E01000207,1591,0.0835,26.0076666666667,-2.03,0.526712759270899,0.195474544311754,0.323067253299811
E01000208,1642,0.061,25.032,-2.176,0.591352009744214,0.188185140073082,0.257612667478685
E01000209,1519,0.0775,21.13,-1.795,0.499012508229098,0.159973666886109,0.404213298222515
E01000210,1526,0.064,28.7223333333333,-1.845,0.602228047182176,0.243119266055046,0.199213630406291
E01000211,2127,0.241,29.4666666666667,-0.739,0.685002350728726,0.191819464033851,0.158439116125999
E01000212,1362,0.1055,28.197,-1.211,0.596182085168869,0.169603524229075,0.292217327459618
E01000213,1370,0.0425,24.0356666666667,-1.634,0.571532846715328,0.22043795620438,0.245985401459854
E01000214,1668,0.09,21.7373333333333,-1.677,0.682853717026379,0.166666666666667,0.198441247002398
E01000215,2161,0.308,27.113,-0.653,0.513651087459509,0.325312355391023,0.169366034243406
E01000216,1972,0.2095,25.5233333333333,-0.77,0.58316430020284,0.267748478701826,0.174442190669371
E01000217,1836,0.2245,27.4056666666667,-1.148,0.546296296296296,0.308823529411765,0.164488017429194
E01000218,1830,0.2765,27.799,-0.39,0.581967213114754,0.287431693989071,0.156284153005464
E01000219,2207,0.299,32.257,-0.271,0.567739012233802,0.329406434073403,0.122338015405528
E01000220,1904,0.334,24.1876666666667,-0.175,0.556197478991597,0.256302521008403,0.22531512605042
E01000221,1477,0.3595,33.2383333333333,0.173,0.626269465132024,0.272173324306026,0.114421123899797
E01000222,2032,0.2845,24.4953333333333,-0.61,0.684547244094488,0.200787401574803,0.141732283464567
E01000223,2081,0.3425,31.8486666666667,-0.057,0.641999038923594,0.248918789043729,0.128784238346949
E01000224,1686,0.3145,26.7783333333333,-0.79,0.623962040332147,0.215895610913405,0.188018979833926
E01000225,1859,0.193,24.2546666666667,-0.774,0.48951048951049,0.330285099515869,0.20656266810113
E01000226,1712,0.3315,30.6033333333333,0.076,0.667056074766355,0.204439252336449,0.164135514018692
E01000227,1894,0.114,19.8966666666667,-1.263,0.589229144667371,0.206441393875396,0.247096092925026
E01000228,1416,0.1335,21.8403333333333,-0.867,0.644774011299435,0.200564971751412,0.211158192090395
E01000229,1657,0.2555,29.8093333333333,-0.149,0.63971031985516,0.231744115872058,0.177429088714544
E01000230,1975,0.1765,23.018,-0.703,0.512405063291139,0.272911392405063,0.257215189873418
E01000231,1746,0.201,27.2576666666667,-0.612,0.639747995418098,0.219931271477663,0.183276059564719
E01000232,1828,0.175,22.8053333333333,-0.427,0.605032822757112,0.189824945295405,0.25437636761488
E01000233,1922,0.1165,20.2516666666667,-1.476,0.644120707596254,0.207596253902185,0.202913631633715
E01000234,1741,0.151,21.588,-0.923,0.604250430786904,0.248133256748995,0.175761056863871
E01000235,1803,0.239,25.835,-0.323,0.694398225180255,0.201885745978924,0.141985579589573
