MSOA21CD,pop,working_pop,elderly_pop,child_pop,working_percent,elderly_percent,child_percent,econ_score,infrastructure_score,health_score
E02004945,12174,7747.999999999998,2746.999999999999,2351.000000000002,0.6364383111549202,0.2256448168227369,0.19311647773944488,0.14075000000000001,15.183999999999983,-0.20966666666666667
E02004946,6382,4086.000000000001,1432.9999999999986,1278.0000000000016,0.6402381698527109,0.22453776245690985,0.20025070510811682,0.204625,21.27575,0.2215
E02004948,6131,3856.000000000001,1478.0000000000011,1173.0000000000002,0.6289349208938184,0.2410699722720602,0.19132278584244009,0.1895,19.27391666666665,0.2045
E02004949,8864,5526.0,2052.0000000000014,1734.9999999999982,0.6234205776173285,0.23149819494584853,0.1957355595667868,0.2008,19.38446666666668,0.2894
E02004950,6839,4295.000000000001,1351.9999999999995,1514.0,0.6280157917824245,0.19768972071940336,0.22137739435589998,0.163,15.924166666666675,0.0935
E02004951,8238,5375.0,1400.9999999999982,1798.9999999999995,0.6524641903374605,0.17006554989074996,0.2183782471473658,0.2509,19.12773333333332,0.44820000000000004
E02004952,6811,4403.0,1532.0000000000002,1292.0000000000014,0.6464542651593012,0.2249302598737337,0.18969314344442834,0.1719,15.709800000000019,0.29179999999999995
E02004953,6484,4141.999999999999,1206.9999999999995,1448.9999999999977,0.6388032078963601,0.1861505243676742,0.2234731647131397,0.21525,18.15266666666665,0.20525
E02004954,7102,4495.000000000001,1508.999999999999,1512.9999999999998,0.6329203041396791,0.21247535905378753,0.21303858068149814,0.1885,20.861166666666676,0.273
E02004955,5920,3708.0,1446.0000000000005,1150.0000000000002,0.6263513513513513,0.24425675675675684,0.1942567567567568,0.1565,16.802583333333324,0.07299999999999998
E02004956,9063,5542.000000000001,2311.0000000000023,1694.0000000000016,0.6114972967008718,0.2549928279819047,0.1869138254441136,0.109,18.314888888888884,-0.9086666666666665
E02004957,10850,6774.999999999999,2119.0000000000027,2458.000000000001,0.6244239631336405,0.19529953917050716,0.2265437788018434,0.1445,14.383500000000017,-0.44450000000000006
E02004958,7759,4610.0,2171.9999999999986,1521.000000000001,0.5941487305065085,0.2799329810542594,0.19603041629075924,0.07975,13.958749999999991,-1.11425
E02004959,6112,3612.0,1891.9999999999993,1007.0000000000005,0.5909685863874345,0.30955497382198943,0.16475785340314145,0.036,11.82266666666666,-1.4095000000000002
E02004960,5850,3393.0,1608.0000000000002,1158.9999999999993,0.58,0.2748717948717949,0.198119658119658,0.0435,9.719499999999993,-1.6962499999999998
E02004961,9750,5760.0,2417.999999999999,2065.0,0.5907692307692308,0.24799999999999991,0.2117948717948718,0.05275,8.546500000000005,-1.332
E02004962,9032,5716.999999999999,1982.0000000000016,1777.9999999999975,0.632971656333038,0.21944198405668752,0.19685562444641247,0.0975,12.077666666666653,-0.8336
E02004963,7684,4772.000000000001,1577.999999999999,1653.9999999999995,0.621030713170224,0.2053617907339926,0.21525247267048406,0.15849999999999997,16.69875,-0.6305000000000001
E02004964,5725,3589.0000000000005,1205.9999999999989,1254.9999999999995,0.6268995633187774,0.21065502183406093,0.21921397379912655,0.15875,20.19775,-0.19325
E02004965,6956,4045.0,1964.9999999999993,1293.0000000000011,0.5815123634272571,0.2824899367452558,0.1858826912018403,0.12537500000000001,14.375666666666667,-0.768
