pfa_code,pfa_name,msoa_code,msoa_name,month,bucket,capacity_version,demand_q25,demand,demand_q75,weighted_demand_q25,weighted_demand,weighted_demand_q75,baseline_alloc,variable_alloc,total_alloc,share_of_force_capacity,total_capacity,prev_month_total_alloc,alloc_change_abs,alloc_change_pct,demand_iqr,demand_iqr_ratio,prev_month_demand,demand_change_abs,demand_change_pct,uncertainty_flag
E23000004,Merseyside,E02001465,Sefton 037,2026-02,acquisitive_crime,wider_local_policing,11.1277,23.011100000000003,40.2612,4.556605,10.229625,18.58871,1.9511352497001841,1.3435294110321552,3.294664660732339,0.0018551039756375784,1776.0,3.350520746879024,-0.0558560861466848,-1.6670867117809727,29.1335,1.2660629000786576,25.9479,-2.936799999999998,-11.318064274950952,True
E23000006,Cheshire,E02002607,Warrington 018,2026-01,local_reassurance,wider_local_policing,1.8982999999999999,8.9773,22.0445,0.854235,4.039785,9.920024999999999,1.6821294403587501,0.5957557272272448,2.277885167585995,0.00207080469780545,1100.0,2.081006348346784,0.19687881923921058,9.460750535221441,20.1462,2.244126853285509,5.8827,3.0946,52.60509629931834,True
E23000006,Cheshire,E02002607,Warrington 018,2026-02,local_reassurance,wider_local_policing,0.946,6.0672999999999995,19.0087,0.42569999999999997,2.730285,8.553915,1.6821294403587501,0.4332557012370401,2.11538514159579,0.0019230774014507182,1100.0,2.277885167585995,-0.16250002599020474,-7.1338111465212855,18.0627,2.977057340167785,8.9773,-2.91,-32.41509139719069,True
E23000006,Cheshire,E02003886,Cheshire West and Chester 035,2026-02,disorder_damage,wider_local_policing,8.6643,20.57,36.0657,8.4969,18.83686,32.24116,0.9443225571386632,2.989130068254395,3.933452625393058,0.0035758660230845985,1100.0,4.0826092688048705,-0.14915664341181234,-3.6534635962230095,27.4014,1.332105007292173,23.1388,-2.5687999999999995,-11.10169931024945,True
E23000006,Cheshire,E02007030,Cheshire East 052,2026-01,disorder_damage,wider_local_policing,10.5249,22.679700000000004,44.1602,10.447740000000001,21.9475,40.81154,1.2259390975356945,3.236644728202109,4.462583825737804,0.004056894387034367,1100.0,4.150170024615306,0.3124138011224975,7.52773499084429,33.6353,1.4830575360344271,20.015700000000002,2.6640000000000015,13.309552001678687,True
E23000007,Northumbria,E02001710,Newcastle upon Tyne 003,2026-01,local_reassurance,wider_local_policing,4.2051,10.6727,20.3299,1.8922950000000003,4.802715,9.148455,1.8486664751056567,0.617776949460157,2.4664434245658136,0.001352216789783889,1824.0,2.3577854713595188,0.10865795320629479,4.60847496628443,16.1248,1.5108454280547565,8.5907,2.0820000000000007,24.235510493906208,True
E23000007,Northumbria,E02001715,Newcastle upon Tyne 008,2026-02,local_reassurance,wider_local_policing,5.8566,11.7641,21.9617,2.63547,5.293845,9.882765000000001,2.202823504728074,0.7365788433612607,2.9394023480893345,0.0016115144452244158,1824.0,3.051070785216983,-0.11166843712764862,-3.659975300104586,16.1051,1.369004003706191,14.6543,-2.8902,-19.722538777014258,True
E23000007,Northumbria,E02001720,Newcastle upon Tyne 013,2026-02,local_reassurance,wider_local_policing,1.0655999999999999,5.1796999999999995,15.386800000000001,0.47952,2.330865,6.924060000000001,1.8113867877769811,0.3243135841210396,2.1357003718980208,0.0011708883617861955,1824.0,2.328191151983332,-0.19249078008531129,-8.267825428394609,14.321200000000001,2.764870552348592,8.9283,-3.7486000000000006,-41.985596362129414,True
E23000007,Northumbria,E02001721,Newcastle upon Tyne 014,2026-02,local_reassurance,wider_local_policing,6.444,13.8586,24.4609,2.8998,6.23637,11.007405,2.215510198888299,0.8677205700909008,3.0832307689792,0.001690367746150877,1824.0,3.180335550175858,-0.09710478119665833,-3.0532872920056775,18.0169,1.300051953299756,16.6683,-2.8096999999999994,-16.856548058290286,True
E23000007,Northumbria,E02001722,Newcastle upon Tyne 015,2026-01,local_reassurance,wider_local_policing,5.008900000000001,11.4942,21.647599999999997,2.2540050000000003,5.17239,9.74142,1.7656176667001913,0.6653285309701329,2.430946197670324,0.0013327555908280286,1824.0,2.320761062885462,0.11018513478486236,4.7478017684365295,16.638699999999996,1.4475735588383705,9.3673,2.126899999999999,22.705582184834466,True
E23000007,Northumbria,E02001729,Newcastle upon Tyne 022,2026-02,local_reassurance,wider_local_policing,4.7264,9.7025,18.397,2.12688,4.366125,8.278649999999999,2.329057693504381,0.6074970654544446,2.9365547589588257,0.0016099532669730404,1824.0,3.0152765053837656,-0.0787217464249399,-2.6107637652594216,13.670599999999999,1.4089770677660394,11.8551,-2.1525999999999996,-18.15758618653575,True
E23000007,Northumbria,E02001743,North Tyneside 006,2026-02,local_reassurance,wider_local_policing,0.8367,4.477,12.211500000000001,0.37651500000000004,2.01465,5.495175,1.4101687667248002,0.28031583221226986,1.69048459893707,0.000926800766961113,1824.0,1.7865006074881695,-0.09601600855109949,-5.374529857344888,11.3748,2.5407192316283225,6.5015,-2.0244999999999997,-31.13896793047758,True
E23000007,Northumbria,E02005709,Northumberland 022,2026-02,local_reassurance,wider_local_policing,3.2584999999999997,6.7862,13.3305,1.466325,3.05379,5.998725,1.275076038385243,0.4249004468525588,1.6999764852378019,0.0009320046519944089,1824.0,1.7881468943659171,-0.08817040912811525,-4.930825840199262,10.072000000000001,1.4841885001915653,8.863800000000001,-2.0776000000000012,-23.43915702069091,True
E23000007,Northumbria,E02005712,Northumberland 025,2026-01,local_reassurance,wider_local_policing,5.0527,10.977,21.3511,2.273715,4.93965,9.607995,1.7997599546002159,0.6353910045465669,2.4351509591467826,0.0013350608328655607,1824.0,2.3080907400388737,0.12706021910790888,5.504992368964181,16.2984,1.4847772615468708,8.5774,2.3995999999999995,27.975843495697987,True
E23000007,Northumbria,E02005720,Northumberland 008,2026-01,local_reassurance,wider_local_policing,6.7343,15.0893,25.9646,3.030435,6.790185,11.68407,2.480557175326707,0.8734267545690545,3.3539839298957617,0.0018388069791095184,1824.0,3.2502894843520966,0.10369444554366503,3.190314156412292,19.2303,1.2744328762765669,12.988199999999999,2.1011000000000006,16.176991422983946,True
E23000007,Northumbria,E02005725,Northumberland 033,2026-02,disorder_damage,wider_local_policing,1.8972,7.1703,21.424599999999998,1.89166,6.8759999999999994,18.92524,1.3704898915977444,0.9567178727280509,2.327207764325795,0.0012758814497400193,1824.0,2.5392162443169957,-0.21200847999120054,-8.34936687514092,19.527399999999997,2.723372801695884,9.410499999999999,-2.240199999999999,-23.805323840391043,True
E23000007,Northumbria,E02005736,Northumberland 013,2026-02,local_reassurance,wider_local_policing,2.5694,6.470400000000001,13.5776,1.15623,2.9116800000000005,6.109920000000001,1.65174852273092,0.40512744265049616,2.0568759653814164,0.0011276732266345484,1824.0,2.1664517032381694,-0.10957573785675301,-5.057843555569296,11.0082,1.701316765578635,8.892,-2.421599999999999,-27.233468286099853,True
E23000007,Northumbria,E02005740,Northumberland 020,2026-01,local_reassurance,wider_local_policing,5.9407000000000005,12.7895,23.7968,2.673315,5.755274999999999,10.70856,1.888366441993577,0.7403054798805061,2.628671921874083,0.0014411578519046508,1824.0,2.513103519403999,0.11556840247008404,4.598632789209254,17.8561,1.396153094335197,10.5416,2.2478999999999996,21.32408742505881,True
E23000007,Northumbria,E02005740,Northumberland 020,2026-02,local_reassurance,wider_local_policing,4.5698,10.4323,20.7628,2.05641,4.694535,9.34326,1.888366441993577,0.6531916141139296,2.5415580561075064,0.0013933980570764838,1824.0,2.628671921874083,-0.08711386576657665,-3.3139877609553405,16.192999999999998,1.5521984605504058,12.7895,-2.3572000000000006,-18.43074396966262,True
E23000007,Northumbria,E02007101,Newcastle upon Tyne 038,2026-02,local_reassurance,wider_local_policing,1.4445000000000001,6.4007,16.034,0.650025,2.880315,7.2153,1.7966225551715649,0.40076335654256773,2.1973859117141328,0.0012047071884397657,1824.0,2.3034014368246254,-0.10601552511049261,-4.602563991478674,14.5895,2.2793600699923444,8.755099999999999,-2.354399999999999,-26.891754520222495,True
E23000007,Northumbria,E02007105,Northumberland 041,2026-01,local_reassurance,wider_local_policing,2.7544,9.2994,18.2282,1.2394800000000001,4.18473,8.20269,2.3388389976054693,0.5382850603698955,2.8771240579753647,0.0015773706458198271,1824.0,2.7569344606959914,0.1201895972793734,4.359537703664939,15.4738,1.6639568144181345,7.0548,2.2446,31.81663548222487,True
